256 bodies after simulation of 10 seconds (1 frame per 0.001 microsecond)
Body 239 : Position (0.225419m, 0.58323m), Velocity (0m/s, 0m/s)
Body 240 : Position (-0.403764m, -0.241116m), Velocity (0m/s, 0m/s)
Body 241 : Position (2.34333m, -2.35622m), Velocity (0m/s, 0m/s)
Body 242 : Position (-3.01556m, -2.51222m), Velocity (0m/s, 0m/s)
Body 243 : Position (-14.8036m, -19.0916m), Velocity (0m/s, 0m/s)
Body 244 : Position (1173.83m, 7.1678m), Velocity (0m/s, 0m/s)
Body 245 : Position (2.49183m, -2.32105m), Velocity (0m/s, 0m/s)
Body 246 : Position (3.0137m, 1.19132m), Velocity (0m/s, 0m/s)
Body 247 : Position (5.62363m, -4.09544m), Velocity (0m/s, 0m/s)
Body 248 : Position (13.5193m, 33.106m), Velocity (0m/s, 0m/s)
Body 249 : Position (-13.3693m, 33.106m), Velocity (0m/s, 0m/s)
Body 250 : Position (-5.47369m, -4.09562m), Velocity (0m/s, 0m/s)
Body 251 : Position (-2.83959m, 1.15413m), Velocity (0m/s, 0m/s)
Body 252 : Position (-2.38141m, -2.1534m), Velocity (0m/s, 0m/s)
Body 253 : Position (-1173.68m, -7.45816m), Velocity (0m/s, 0m/s)
Body 254 : Position (19.3527m, -19.6021m), Velocity (0m/s, 0m/s)
Body 255 : Position (-0.240082m, -0.316357m), Velocity (0m/s, 0m/s)
Body 256 : Position (-98.1423m, -98.3436m), Velocity (0m/s, 0m/s)
